program,income,sibs,e,walk
Single report,0.9618103517235741,-0.03251025083008431,0.6809155823870638,2.207375984557383
Weekly    report,0.8538954643101121,-0.9896780191064586,-0.2075834776456533,0.2784207092662856
Regular,0.41879670207218433,0.2118099280885224,0.837426507279305,1.1715265244318427
Single report,0.339956513014142,-0.972017533731427,-0.2918737159287265,-0.16794771327322705
Single report,0.5964250590152755,0.5492240139576962,0.32060108022529776,1.589850675727059
Special,1.871418005211069,-1.0490215300116843,-1.3697757608626513,1.51284048194811
Regular,0.6028703696937787,0.44913393476040253,0.29122965826017805,1.0201021801810475
Special,-0.7661688038809561,-0.38585565254267085,1.3855454685817628,0.6433644364889931
Single report,-0.6203264870774627,-1.5701355229818255,0.1690452356527402,-1.4465122564543669
Weekly    report,0.7901902505959718,1.226942601065978,1.0689212841752247,2.5676779606021713
Special,-0.2419765098235928,0.6666943955568755,-1.5858891592120616,-1.0155067261690132
Single report,1.1174864812273457,-1.1516031630448444,-0.3838500919737489,0.8165780483448477
Regular,1.1849306349973203,-0.16078848318938116,0.8648344176127306,2.161836128514021
Regular,1.6464748376473677,-0.9729137758858334,0.5612503410942727,2.1445057096224076
Special,0.19299618585284606,-0.6104616593276314,-1.4398370589036131,-0.8555736097881599
Weekly    report,-0.3925535541016693,0.49927687561987033,-1.0061661467123062,-1.6453580400548748
Special,0.0070513233354841075,0.8793641391858048,-0.9403550265541074,0.10990402804202115
Weekly    report,-2.494835444338392,0.923129239365448,0.053451332153780964,-3.527237214671083
Weekly    report,-0.977296362156525,0.6931339719110087,-0.5739454956416925,-1.9933230529209758
Regular,0.6285688228065485,-0.1395003245617591,0.22054883007557,0.6936519020045131
Single report,-0.08414047297904528,-3.3106787265626,-0.8345157344883208,-2.516065807238189
Special,0.38213160784884087,0.5384657991128267,-0.13035416226200658,1.312076149067668
Weekly    report,-1.0934137989101416,0.892485866504513,0.5673294417859287,-0.9265483233270269
Special,-0.7554639606075171,0.4894620362134137,1.2084668200239246,0.9200018972193557
Single report,-0.263992918781489,-1.1963517465652953,0.12721964840281985,-0.7669456030520613
Weekly    report,-0.7524626972184474,0.4627378532476744,-0.9514095431911237,-2.1487346623949577
Single report,0.4406920905282026,0.9717035763262518,-0.6625144389983224,0.5843754849571074
Single report,-1.2774507661336012,-1.4721589644646702,0.3445948543887844,-2.2076607770439525
Special,1.1771920455567373,0.5289649408994677,-1.0798542208622024,1.5504163179226373
Single report,0.9025058341808868,2.4544003526127964,0.2096526042094672,2.890611531787196
Regular,-1.2613041767337225,-1.6493454795915887,-1.302919565163581,-4.419548570059959
Weekly    report,0.8374551456931618,0.7958051550135953,-0.3698112354700634,0.984274060576477
Regular,-2.348290307602076,-0.3412931669875907,-0.6429370631692222,-4.736019108066131
Special,0.610971136817096,-1.4052537997164387,1.091163539257241,1.9049933446246654
Regular,-0.04786774228856286,-0.9229608150716289,0.33659495161081704,-0.5966870693578417
Single report,-2.399197708322535,0.009898129558867036,-0.3148323075633898,-3.8086798052677584
Weekly    report,-0.019318956188193032,-0.40885977369908966,-0.17907198024241908,-0.7124803013742534
Single report,-0.08868545222565304,-1.3882452887997436,0.052267827582484536,-0.6748829951558669
Single report,-1.5954848980990155,-0.2645952384794647,0.6108813514123492,-1.8146436149759062
Regular,0.8517093210690175,-0.9472982789833317,-0.29379674245447024,0.11011809965739011
Special,-0.7135608058748343,0.7395213279616146,-2.679716201440087,-2.780296746271531
Weekly    report,1.0664303443791914,0.8967787085671886,-1.2378444243958928,0.5101904464564886
Special,-0.5362425904512619,-0.3460008871108405,0.576568612062135,0.19920428282982194
Weekly    report,0.5359170564365098,-1.7820570684685761,1.135890588891514,0.7487376393119908
Regular,-1.8286266338760822,0.46494175307579666,0.6941417864464199,-2.216327287829805
Special,-1.8135333558620907,-1.9510306097471337,0.28657116737033594,-2.809244171296367
Regular,1.372613706858591,-0.5161133404630439,-1.9980673132672995,-0.5972034232109344
Weekly    report,-0.5642695407184867,0.4890803175299605,1.1497782392490017,0.24791408693625216
Regular,0.9703112265514805,0.902024726217598,1.4358605475925377,2.942339750528557
Weekly    report,-0.018633984200702357,0.6403629948477761,-0.4794400747609374,-0.4872095536381028
Special,0.36237034960005254,0.9512088789460401,2.289106337780241,3.90826630165334
